platform,machine,round,version,sha,src_tree_id,scenario_id,op,src_fmt,dst_fmt,width,height,params,layout,level,status,reason,warmup,n,min_ms,median_ms,p95_or_max_ms,upper_kind,mean_ms,stdev_ms,spread,checksum_sha256,raw_ms,started_at,finished_at,compiler,flags,power_plan,affinity
windows,local-windows,1,abi_v1,3564f5ff4cf9d04755fd6d080d52933e2ae89593,d4e9e54fd92a53ce204ecc36f0031c8db3e2085c,CVT.I420.I420,cvt,I420,I420,1920,1080,-,tight,dart,OK,,11,50,2.3090,2.6650,3.4400,p95,2.7528,0.2683,0.2908,71c06f9341e998b2308625dedffb1555a57cacdb4b1479630039dab4febfc0b4,2.7320;2.7680;2.5590;2.9450;2.5860;2.6260;2.7130;2.6230;2.7070;2.6130;2.9820;2.7970;2.5890;2.9540;2.6730;2.5400;2.4270;2.9160;2.6100;2.5280;3.3750;2.5740;2.6430;2.8140;2.6900;2.8530;2.6570;2.6050;2.5740;2.7120;2.8260;2.7820;2.3090;2.5600;2.5930;2.6040;2.5250;2.6250;2.5070;3.5380;2.6030;2.8250;3.4400;2.6530;2.7820;3.2560;2.8750;2.5590;3.5390;2.8550,2026-09-26T13:39:55.066512Z,2026-09-26T13:39:55.517612Z,Flutter-3.44.9-Dart-3.12.2,AOT-MSVC-Release,,
windows,local-windows,1,abi_v1,3564f5ff4cf9d04755fd6d080d52933e2ae89593,d4e9e54fd92a53ce204ecc36f0031c8db3e2085c,CVT.I420.NV12,cvt,I420,NV12,1920,1080,-,tight,dart,OK,,6,30,9.9480,10.2920,23.1630,p95,13.3211,5.1440,1.2506,c08dec9993df462f7d96eb3e765ab97b2ac69d86f7bf13e60740ce5c3d4ee652,10.2540;15.8910;23.1630;21.0120;22.5810;21.2520;21.6900;23.9000;22.0120;11.9430;10.0140;10.2920;10.0720;10.2460;10.2920;10.1610;10.5390;10.1650;10.1540;10.0990;10.1650;10.0090;10.0100;9.9480;10.0580;10.1400;10.3180;10.3870;10.6910;12.1740,2026-09-26T13:39:55.876584Z,2026-09-26T13:39:56.535093Z,Flutter-3.44.9-Dart-3.12.2,AOT-MSVC-Release,,
windows,local-windows,1,abi_v1,3564f5ff4cf9d04755fd6d080d52933e2ae89593,d4e9e54fd92a53ce204ecc36f0031c8db3e2085c,CVT.I420.BGRA,cvt,I420,BGRA,1920,1080,-,tight,dart,OK,,6,30,43.6580,44.1460,47.9210,p95,45.1247,2.0270,0.0855,b08cec9880b62a1957c53397509216d6c086ce56af2d1095840bc3d846cdc59f,44.1140;43.7840;43.8340;43.6890;43.6850;43.9180;43.6580;44.2660;44.1020;44.4680;44.1780;43.8870;43.8610;44.0810;43.8550;46.0470;47.9210;52.8140;44.8610;44.2800;46.1550;47.3550;47.5690;47.2180;47.4940;46.5960;43.9190;43.6750;44.0350;44.4220,2026-09-26T13:39:56.875494Z,2026-09-26T13:39:58.834217Z,Flutter-3.44.9-Dart-3.12.2,AOT-MSVC-Release,,
windows,local-windows,1,abi_v1,3564f5ff4cf9d04755fd6d080d52933e2ae89593,d4e9e54fd92a53ce204ecc36f0031c8db3e2085c,CVT.NV12.I420,cvt,NV12,I420,1920,1080,-,tight,dart,OK,,6,30,10.6220,11.5095,13.0450,p95,11.5621,0.6768,0.1334,71c06f9341e998b2308625dedffb1555a57cacdb4b1479630039dab4febfc0b4,11.2190;11.3080;11.5960;11.7360;11.6270;12.1790;11.6030;11.2970;11.2190;11.3330;11.4420;12.0070;11.8570;11.3590;12.1450;11.1090;10.8460;10.7770;10.6220;10.9790;10.6410;10.7260;11.8650;11.5570;11.4620;13.8300;13.0450;11.8230;11.7790;11.8760,2026-09-26T13:39:59.134211Z,2026-09-26T13:39:59.758461Z,Flutter-3.44.9-Dart-3.12.2,AOT-MSVC-Release,,
windows,local-windows,1,abi_v1,3564f5ff4cf9d04755fd6d080d52933e2ae89593,d4e9e54fd92a53ce204ecc36f0031c8db3e2085c,CVT.NV12.NV12,cvt,NV12,NV12,1920,1080,-,tight,dart,OK,,11,50,1.9230,2.2035,2.5070,p95,2.2290,0.2272,0.1377,c08dec9993df462f7d96eb3e765ab97b2ac69d86f7bf13e60740ce5c3d4ee652,2.2150;2.3060;2.0910;2.3580;2.3410;2.3620;2.4630;2.1300;1.9600;2.6840;2.2970;3.2630;2.3080;2.1760;2.0510;1.9230;2.1690;2.3600;2.2370;1.9400;2.2610;2.3300;2.2080;2.4890;2.5070;2.2210;1.9700;2.1990;2.4550;2.4010;2.1030;2.1850;2.1470;2.1840;2.1650;2.1430;2.2160;2.3030;2.3510;2.3190;2.1970;2.0400;1.9900;2.0600;1.9830;2.3900;1.9270;1.9960;2.0740;2.0020,2026-09-26T13:40:00.086440Z,2026-09-26T13:40:00.451774Z,Flutter-3.44.9-Dart-3.12.2,AOT-MSVC-Release,,
windows,local-windows,1,abi_v1,3564f5ff4cf9d04755fd6d080d52933e2ae89593,d4e9e54fd92a53ce204ecc36f0031c8db3e2085c,CVT.NV12.BGRA,cvt,NV12,BGRA,1920,1080,-,tight,dart,OK,,6,30,42.7560,43.2985,48.2710,p95,44.4608,2.0499,0.1148,b08cec9880b62a1957c53397509216d6c086ce56af2d1095840bc3d846cdc59f,42.9500;44.3410;46.9870;47.8960;46.9580;47.7130;46.8910;48.2710;46.9600;48.9030;46.3680;43.6340;42.8060;43.1310;43.0130;43.4060;42.7560;43.4980;43.1050;43.4870;43.1710;43.3650;42.8390;43.0270;42.9820;43.2320;43.0240;43.1990;42.7590;43.1520,2026-09-26T13:40:00.774412Z,2026-09-26T13:40:02.708150Z,Flutter-3.44.9-Dart-3.12.2,AOT-MSVC-Release,,
windows,local-windows,1,abi_v1,3564f5ff4cf9d04755fd6d080d52933e2ae89593,d4e9e54fd92a53ce204ecc36f0031c8db3e2085c,CVT.BGRA.I420,cvt,BGRA,I420,1920,1080,-,tight,dart,OK,,6,30,20.8680,21.8945,23.0620,p95,22.0473,0.5512,0.0533,1d9529c94483d83cb89c58868028aa91439b7cc230e4100083ad694f56aa2691,23.4160;23.0620;21.8050;21.9610;21.8540;21.6330;21.4710;21.8990;21.7020;21.8210;21.6220;21.4710;20.8680;22.6680;22.5250;22.4340;22.6020;22.5050;22.5760;22.4890;22.3670;22.3090;22.4210;21.8140;21.4710;21.5590;21.8900;21.5250;22.0950;21.5840,2026-09-26T13:40:03.117270Z,2026-09-26T13:40:04.114587Z,Flutter-3.44.9-Dart-3.12.2,AOT-MSVC-Release,,
windows,local-windows,1,abi_v1,3564f5ff4cf9d04755fd6d080d52933e2ae89593,d4e9e54fd92a53ce204ecc36f0031c8db3e2085c,CVT.BGRA.NV12,cvt,BGRA,NV12,1920,1080,-,tight,dart,OK,,6,30,20.3070,20.7290,22.1760,p95,20.9039,0.5778,0.0698,a059affca5bdec2b3b77a0c6ac429290d34d8f24913b47e2a3dcd16a0c608725,21.7540;22.1760;21.4140;21.4460;20.4780;21.0630;21.0030;20.8260;21.0950;20.6410;20.5060;20.6160;20.7550;20.7600;20.4900;20.4960;20.8130;20.4840;20.5320;20.5100;20.5110;20.7450;21.5040;22.7380;21.4830;20.3070;20.7130;20.3240;20.5380;20.3960,2026-09-26T13:40:04.522192Z,2026-09-26T13:40:05.453448Z,Flutter-3.44.9-Dart-3.12.2,AOT-MSVC-Release,,
windows,local-windows,1,abi_v1,3564f5ff4cf9d04755fd6d080d52933e2ae89593,d4e9e54fd92a53ce204ecc36f0031c8db3e2085c,CVT.BGRA.BGRA,cvt,BGRA,BGRA,1920,1080,-,tight,dart,OK,,11,50,4.5510,4.8655,5.3820,p95,4.9294,0.2201,0.1062,4a107f2e1d3895761980b2c7e5eecc1a587bffc27626b96868c9c94306dc22a9,5.0290;4.9470;4.9200;4.9790;5.2560;4.9010;5.3820;4.8740;5.6060;5.2280;4.8160;4.8050;4.8640;4.7420;4.7350;4.8990;4.8050;4.8490;4.6580;4.8120;4.5510;4.8980;5.1360;5.5830;4.9750;4.9920;4.9510;4.9470;5.2350;5.0690;5.1260;5.1990;4.9990;5.1400;4.8670;4.8340;4.7930;4.6930;4.8470;4.8010;4.7330;4.8640;4.7430;4.8140;4.8420;4.7080;4.8210;4.6800;4.7640;4.7580,2026-09-26T13:40:05.876013Z,2026-09-26T13:40:06.575564Z,Flutter-3.44.9-Dart-3.12.2,AOT-MSVC-Release,,
windows,local-windows,1,abi_v1,3564f5ff4cf9d04755fd6d080d52933e2ae89593,d4e9e54fd92a53ce204ecc36f0031c8db3e2085c,CVT.RGBA.I420,cvt,RGBA,I420,1920,1080,-,tight,dart,OK,,6,30,21.0970,21.5150,22.3120,p95,21.6102,0.4159,0.0370,1d9529c94483d83cb89c58868028aa91439b7cc230e4100083ad694f56aa2691,21.9780;22.2890;22.3120;21.7280;22.4590;21.3440;22.1150;21.8950;21.2250;21.0970;21.4340;21.1620;21.1480;21.1590;21.2190;21.1480;21.3350;21.1220;21.2510;21.2500;21.4940;21.9550;21.4030;21.6910;22.0140;21.7630;21.8750;21.7180;22.1860;21.5360,2026-09-26T13:40:06.980471Z,2026-09-26T13:40:07.881946Z,Flutter-3.44.9-Dart-3.12.2,AOT-MSVC-Release,,
