platform,machine,round,version,sha,src_tree_id,scenario_id,op,src_fmt,dst_fmt,width,height,params,layout,level,status,reason,warmup,n,min_ms,median_ms,p95_or_max_ms,upper_kind,mean_ms,stdev_ms,spread,checksum_sha256,raw_ms,started_at,finished_at,compiler,flags,power_plan,affinity
windows,OLEG-WORK,1,v024,5f52fd14540a283da91a6d80e1fc7128bba1c796,eba076b4cc9a0d7a686b61edbbb8101da9270356,FLIP.BGRA.V,flip,BGRA,BGRA,4000,3000,direction=V,tight,dart,OK,,6,30,56.5660,58.9075,71.0630,p95,60.3984,4.3199,0.2063,c620da3f55264f92daa84f5f6b88e7b763e4a82aa958c5a36579309b46b359a9,66.4100;57.7360;57.2440;58.4880;57.3050;57.6440;58.0670;56.5660;67.6960;57.4240;59.3020;59.0720;59.0070;58.4170;57.2710;58.8080;69.7370;59.2450;58.7230;61.4300;59.7740;58.0420;58.4190;60.0410;71.0630;57.5350;59.4160;59.6840;72.1460;60.2390,2026-09-25T16:23:54.814368Z,2026-09-25T16:24:00.341991Z,Flutter-3.44.9_Dart-3.12.2_engine-b9499e4c,AOT+MSVC-/MD-/O2-/Ob2-/DNDEBUG,381b4222-f694-41f0-9685-ff5bb260df2e,0x4
windows,OLEG-WORK,1,abi_v1,35c516e216fef8d5ed4ef379d38655fc643f738d,9029ff28d9834c069f41159d122b36ed6d9d4968,FLIP.BGRA.V,flip,BGRA,BGRA,4000,3000,direction=V,tight,dart,OK,,3,15,498.4150,500.9220,512.1200,max,502.5998,4.5221,0.0224,c620da3f55264f92daa84f5f6b88e7b763e4a82aa958c5a36579309b46b359a9,512.1200;498.5450;500.9220;500.5430;498.9790;501.4510;499.2670;500.8200;501.1920;498.4150;502.9460;510.1640;505.8720;509.0110;498.7500,2026-09-25T16:24:01.473456Z,2026-09-25T16:24:12.377419Z,Flutter-3.44.9_Dart-3.12.2_engine-b9499e4c,AOT+MSVC-/MD-/O2-/Ob2-/DNDEBUG,381b4222-f694-41f0-9685-ff5bb260df2e,0x4
windows,OLEG-WORK,2,v024,5f52fd14540a283da91a6d80e1fc7128bba1c796,eba076b4cc9a0d7a686b61edbbb8101da9270356,FLIP.I420.V,flip,I420,I420,1920,1080,direction=V,tight,dart,OK,,11,50,3.5640,3.8105,4.0000,p95,4.0371,1.6820,0.0497,3809b84e185696e03885a5f1fc1662eeb313c52d568e12a8712a9015295e1f9b,3.8030;3.6310;3.9560;3.6500;3.8170;3.8130;3.6770;4.0350;3.7150;3.8080;3.8180;3.5640;3.9200;3.6680;3.7130;3.9320;3.6510;3.9150;3.8580;3.7210;3.8010;3.6870;3.6570;3.9100;3.8590;3.7820;3.8550;3.8060;4.0000;3.8420;3.7340;3.8430;3.7710;3.9670;3.6030;3.6940;3.8570;3.7490;3.8150;3.7340;3.7700;3.9190;3.8890;3.9010;3.8230;3.7770;3.7830;3.8760;15.6700;3.8140,2026-09-25T16:24:12.816164Z,2026-09-25T16:24:13.296520Z,Flutter-3.44.9_Dart-3.12.2_engine-b9499e4c,AOT+MSVC-/MD-/O2-/Ob2-/DNDEBUG,381b4222-f694-41f0-9685-ff5bb260df2e,0x4
windows,OLEG-WORK,2,abi_v1,35c516e216fef8d5ed4ef379d38655fc643f738d,9029ff28d9834c069f41159d122b36ed6d9d4968,FLIP.I420.V,flip,I420,I420,1920,1080,direction=V,tight,dart,OK,,3,15,109.3100,110.0490,116.5310,max,110.8250,2.0563,0.0589,3809b84e185696e03885a5f1fc1662eeb313c52d568e12a8712a9015295e1f9b,109.8320;110.8670;110.2540;109.5230;110.0490;109.3100;114.4170;110.6110;109.5380;109.6870;109.5590;111.9200;116.5310;110.8770;109.4000,2026-09-25T16:24:13.655700Z,2026-09-25T16:24:15.805743Z,Flutter-3.44.9_Dart-3.12.2_engine-b9499e4c,AOT+MSVC-/MD-/O2-/Ob2-/DNDEBUG,381b4222-f694-41f0-9685-ff5bb260df2e,0x4
windows,OLEG-WORK,2,v024,5f52fd14540a283da91a6d80e1fc7128bba1c796,eba076b4cc9a0d7a686b61edbbb8101da9270356,FLIP.NV12.V,flip,NV12,NV12,1920,1080,direction=V,tight,dart,OK,,11,50,2.9460,3.3665,3.5630,p95,3.8404,2.4432,0.0584,d87350a9d70881ce01da8c36f9948b57ed8eb442888674c11ecdaa80ef678b82,2.9460;3.3660;3.3730;3.3520;3.3070;3.3500;3.3260;3.3190;3.2900;3.3670;3.2810;3.4020;3.2830;3.3390;3.2720;3.3610;3.3510;3.5630;12.2610;3.3110;3.3120;3.3580;3.3990;3.2720;3.3680;3.4240;3.2880;3.3430;3.3150;3.3600;3.2470;3.4490;3.4890;3.3970;3.3290;3.3130;3.3730;18.3400;3.3880;3.3890;3.4090;3.3820;3.3800;3.4320;3.4690;3.4900;3.4660;3.4570;3.4490;3.5120,2026-09-25T16:24:16.131150Z,2026-09-25T16:24:16.576814Z,Flutter-3.44.9_Dart-3.12.2_engine-b9499e4c,AOT+MSVC-/MD-/O2-/Ob2-/DNDEBUG,381b4222-f694-41f0-9685-ff5bb260df2e,0x4
windows,OLEG-WORK,2,abi_v1,35c516e216fef8d5ed4ef379d38655fc643f738d,9029ff28d9834c069f41159d122b36ed6d9d4968,FLIP.NV12.V,flip,NV12,NV12,1920,1080,direction=V,tight,dart,OK,,6,30,93.2060,94.2295,98.3420,p95,94.8049,1.5544,0.0436,d87350a9d70881ce01da8c36f9948b57ed8eb442888674c11ecdaa80ef678b82,93.2450;94.6590;94.7760;94.3110;97.3040;94.4960;95.9650;94.0360;96.3770;93.9990;95.6800;94.4710;98.5780;97.2340;95.8750;93.9930;95.9490;93.7440;95.7960;94.0950;98.3420;93.3750;93.4150;93.6540;93.4450;93.3030;93.4270;93.2060;93.2480;94.1480,2026-09-25T16:24:16.952006Z,2026-09-25T16:24:20.581129Z,Flutter-3.44.9_Dart-3.12.2_engine-b9499e4c,AOT+MSVC-/MD-/O2-/Ob2-/DNDEBUG,381b4222-f694-41f0-9685-ff5bb260df2e,0x4
windows,OLEG-WORK,2,v024,5f52fd14540a283da91a6d80e1fc7128bba1c796,eba076b4cc9a0d7a686b61edbbb8101da9270356,FLIP.BGRA.V,flip,BGRA,BGRA,1920,1080,direction=V,tight,dart,OK,,6,30,9.0120,10.1000,15.4180,p95,10.6754,1.9323,0.5265,7e3e5c72aa9d1188d0b3e071309d54832cf1fdc84d143603ec80790e1554a9d6,9.9600;9.8280;10.4640;10.3050;10.3030;10.3310;10.3920;10.3630;10.0020;9.0120;9.1250;9.2960;9.5860;14.7970;9.4540;9.4430;9.4270;10.1250;15.4180;10.2540;10.4030;10.7540;9.8290;16.0670;10.1490;9.9330;9.9750;10.0750;15.2670;9.9240,2026-09-25T16:24:21.026554Z,2026-09-25T16:24:21.997151Z,Flutter-3.44.9_Dart-3.12.2_engine-b9499e4c,AOT+MSVC-/MD-/O2-/Ob2-/DNDEBUG,381b4222-f694-41f0-9685-ff5bb260df2e,0x4
windows,OLEG-WORK,2,abi_v1,35c516e216fef8d5ed4ef379d38655fc643f738d,9029ff28d9834c069f41159d122b36ed6d9d4968,FLIP.BGRA.V,flip,BGRA,BGRA,1920,1080,direction=V,tight,dart,OK,,6,30,86.4880,88.4665,92.7130,p95,88.8997,2.0372,0.0480,7e3e5c72aa9d1188d0b3e071309d54832cf1fdc84d143603ec80790e1554a9d6,92.5100;86.5860;92.7130;89.9780;88.1440;86.6560;86.5950;90.4100;89.6810;87.8430;88.5860;87.1290;88.3470;87.5560;91.1480;87.2490;89.9360;86.9470;94.6860;90.0470;89.7570;89.5580;86.4880;89.1280;87.1000;87.7220;89.7090;87.0460;90.0450;87.6910,2026-09-25T16:24:22.462614Z,2026-09-25T16:24:26.046965Z,Flutter-3.44.9_Dart-3.12.2_engine-b9499e4c,AOT+MSVC-/MD-/O2-/Ob2-/DNDEBUG,381b4222-f694-41f0-9685-ff5bb260df2e,0x4
windows,OLEG-WORK,2,v024,5f52fd14540a283da91a6d80e1fc7128bba1c796,eba076b4cc9a0d7a686b61edbbb8101da9270356,FLIP.I420.V,flip,I420,I420,4000,3000,direction=V,tight,dart,OK,,6,30,22.1130,23.0760,38.0780,p95,24.7450,4.5994,0.6501,3f99368f921a5c9e6d563b50faccbccaaed394716e1e4a9359a39a006499424a,23.8680;36.9150;22.2820;22.1130;27.5550;23.1350;23.5910;38.4460;23.1310;23.0340;23.0900;22.8300;22.7140;23.0280;23.1340;22.2090;22.7060;22.4150;22.9160;22.3940;22.8130;23.9590;23.4660;23.4270;27.3420;22.4780;23.0620;38.0780;23.2010;23.0190,2026-09-25T16:24:26.743338Z,2026-09-25T16:24:28.624973Z,Flutter-3.44.9_Dart-3.12.2_engine-b9499e4c,AOT+MSVC-/MD-/O2-/Ob2-/DNDEBUG,381b4222-f694-41f0-9685-ff5bb260df2e,0x4
windows,OLEG-WORK,2,abi_v1,35c516e216fef8d5ed4ef379d38655fc643f738d,9029ff28d9834c069f41159d122b36ed6d9d4968,FLIP.I420.V,flip,I420,I420,4000,3000,direction=V,tight,dart,OK,,3,15,629.1560,629.9970,631.7280,max,630.1738,0.7963,0.0027,3f99368f921a5c9e6d563b50faccbccaaed394716e1e4a9359a39a006499424a,631.0690;629.1560;629.2470;631.7280;629.9970;630.4100;630.6440;630.7740;629.4020;631.2330;629.9390;629.2420;629.7530;630.3410;629.6720,2026-09-25T16:24:29.238587Z,2026-09-25T16:24:41.430418Z,Flutter-3.44.9_Dart-3.12.2_engine-b9499e4c,AOT+MSVC-/MD-/O2-/Ob2-/DNDEBUG,381b4222-f694-41f0-9685-ff5bb260df2e,0x4
